,id,mean_h,mean_s,mean_v,dominant_h,dominant_s,dominant_v,max_colorname
1418,6991805541995629829,0.26759216707516326,0.2589809708605663,0.6466456461056644,0.1215686274509803,0.2117647058823529,0.7529411764705882,yellow
1419,7039322135462006021,0.2581133408224398,0.28458052491830055,0.5665445431644878,0.5294117647058824,0.1098039215686274,0.6666666666666666,gray
1420,7009386813190130949,0.18994502314814785,0.30472664760348567,0.4387246391612199,0.0627450980392156,0.2784313725490196,0.4470588235294118,orange-yellow
1421,7259059371819191578,0.3769816346677559,0.3775424666394334,0.23428138616557723,0.5215686274509804,0.5882352941176471,0.0980392156862745,gray
1422,7213761256472317190,0.24389850558278847,0.3941916870915031,0.6472226477396512,0.0666666666666666,0.4941176470588235,0.9333333333333332,gray
1423,7218192132270476570,0.3173734511165575,0.16328210103485824,0.29999957448257053,0.0,0.0,0.0,black
1424,7227912709906500891,0.1198797487745098,0.21357060185185187,0.07872327750544661,0.0,0.0,0.0,black
1425,7085860283700350214,0.49980383646514154,0.23796423951525036,0.48457456767429186,0.596078431372549,0.0823529411764705,0.396078431372549,gray
1426,7215972728891788549,0.483875442538126,0.16515948393246166,0.5374876599945531,0.6666666666666666,0.1215686274509803,0.1058823529411764,black
1427,7267271407581646113,0.30276713984204784,0.6169794219771241,0.059923917483660084,0.0823529411764705,1.0,0.0078431372549019,black
1428,7008951130629737734,0.33873740468409574,0.24112370642701506,0.6003923270697165,0.4980392156862745,0.0039215686274509,1.0,white
1429,7190348686436683014,0.5753391472868215,0.4958026960784311,0.4644077034883718,0.6431372549019608,0.7490196078431373,0.2980392156862745,violet
1430,7233168738927889690,0.335808568218954,0.39665373093681894,0.5021033326525053,0.0509803921568627,0.792156862745098,0.5647058823529412,orange
1431,7172546698298821894,0.13982970792483654,0.050778696895424726,0.11638710171568614,0.0,0.0,0.0,black
1432,7303128112055815456,0.3907849945533768,0.2975434878812635,0.27805564065904126,0.0,0.0,0.0,black
1433,7308653017736236321,0.13058576729302798,0.4360634531590412,0.2590077784586054,0.0705882352941176,0.6274509803921569,0.2411764705882353,orange-yellow
1434,7122082161997450501,0.6420266544117644,0.6031335103485838,1.3479013480392155,0.0431372549019607,0.3607843137254902,0.8392156862745098,orange
1435,7212587975924845829,0.19340320329520685,0.45503302015250524,0.26446972017973847,0.0,0.0,0.0,black
1436,7028970914742029574,0.760913671023965,0.3666236894063179,0.26820874183006516,0.6313725490196078,0.2470588235294117,0.1058823529411764,black
1437,7308249126473321761,0.13130787037037023,0.16771173747276685,0.6241230085784313,0.0941176470588235,0.0941176470588235,0.6862745098039216,gray
1438,7284329930039512353,0.04298406862745091,0.16581946146514154,0.1634808176742919,0.0,0.0,0.0,black
1439,7204469949467725061,0.45787590209694984,0.3092116013071895,0.5816176470588234,0.3215686274509804,0.4666666666666667,0.196078431372549,green
1440,7294638160305343777,0.07811436206426983,0.39503208401416096,0.6760293266612198,0.0588235294117647,0.5137254901960784,0.7254901960784313,orange-yellow
1441,7164416227492859142,1.0245523556644875,0.36813214869281013,1.4961635348583873,0.5803921568627451,0.1254901960784313,0.7647058823529411,blue-violet
1442,7254486416472739098,0.11311402165032663,0.2115685423474944,0.5590107570806099,0.0901960784313725,0.1450980392156863,0.7803921568627451,orange-yellow
1443,7221858012753841435,0.2278875612745095,0.18168487881263587,0.8051436546840957,0.0274509803921568,0.0470588235294117,0.9882352941176472,white
1444,7275803962773654816,0.4650131059368191,0.12095332924836596,0.3672811138344225,0.6666666666666666,0.0901960784313725,0.1372549019607843,gray
1445,7214180910659407109,0.3133863528050106,0.15376412717864904,0.19149816176470574,0.0,0.0,0.0,black
1446,7253125287293095194,0.34348447712418295,0.21573393246187358,0.5727234817538127,0.1372549019607843,0.0470588235294117,0.792156862745098,gray
1447,7214763870777249029,0.11602759942004962,0.09241922120961046,0.15141535487434393,0.0,0.0,0.0,black
1448,7306636253892447520,0.6037330644063179,0.39701371868191704,0.3450874012799563,0.6196078431372549,0.5098039215686274,0.596078431372549,gray
1449,7257529835419897115,0.526795258033769,0.25126421228213497,0.3864400360838779,0.596078431372549,0.3490196078431372,0.192156862745098,gray
1450,7188138190270680326,0.5480119825708054,0.7034407339324614,1.1782552083333326,0.0666666666666666,0.2823529411764706,0.788235294117647,orange-yellow
1451,7158066471501991174,0.15284117987472745,0.27485447303921545,0.5003161594498908,0.0705882352941176,0.0627450980392156,0.3333333333333333,gray
1452,7065679205777886469,0.15889288875272298,0.5215486281318081,0.6309695840141609,0.0705882352941176,0.5215686274509804,0.8352941176470589,orange-yellow
1453,7286872186432933153,0.5784658394607843,0.38753702001633983,0.5434112881263615,0.596078431372549,0.5098039215686274,0.7058823529411765,blue-violet
1454,7206394444558470402,0.29035224332788634,0.22067929602396497,0.6137527233115466,0.0509803921568627,0.4392156862745098,0.4196078431372549,orange-yellow
1455,7217831853540134149,0.2591218171296293,0.15175823801742874,0.24334490740740697,0.0,0.0,0.0,black
1456,7167483753785347333,0.4943049226732938,0.33165648301574085,0.437268710301021,0.0,0.0,0.0,black
1457,7231075984953330971,0.29220950704225335,0.41316625241645943,0.20594880557856932,0.0,0.0,0.0,black
1458,7116916416875334917,0.24522994961873615,0.32726247617102366,0.6473583877995639,0.1490196078431372,0.4078431372549019,0.5882352941176471,yellow
1459,7070885073574202629,0.3169219771241826,0.3226047623910673,0.6230047487745095,0.0823529411764705,0.1333333333333333,0.8392156862745098,orange-yellow
1460,7223717521428352262,0.2594852090141611,0.2615115230119825,0.495538875272331,0.1098039215686274,0.1764705882352941,0.1450980392156863,gray
1461,7213374822032723206,0.10904522399237455,0.0655837248093681,0.952087588507625,0.0,0.0,1.0,white
1462,7087631706701843718,0.4100928479030498,0.3945733762254898,0.4895237608932459,0.5882352941176471,0.9411764705882352,0.8431372549019608,violet
1463,7246350300548713754,0.5318201933551199,0.06140769675925926,0.6862851477396513,0.7058823529411765,0.0196078431372549,0.8549019607843137,gray
1464,7240689954341391643,0.12573061342592562,0.12345366966230911,0.3356485736655771,0.0,0.0,0.0,black
1465,7007286623511530758,0.20617085375816974,0.1662692333877994,0.6097924325980388,0.0,0.0,0.0,black
1466,7140337096568474886,0.11819044458060987,0.4100405092592591,0.5743689576525053,0.0666666666666666,0.6862745098039216,0.6627450980392157,orange-yellow
