,id,platform,hashtag,n_clusters,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,dominant_r,dominant_g,dominant_b,dominant_h,dominant_s,dominant_v,black,gray,white,orange,orange-yellow,yellow,yellow-green,green,green-blue,blue,blue-violet,violet,violet-red,red,red-orange
0,klimaschutz_562.jpg,instagram,klimaschutz,11,0.45013688671722374,0.41789719242543566,0.4061417439315549,0.37232104238754304,0.43444047962322163,0.5471462298154554,0.2514417531718569,0.4129561028563675,0.4274509803921568,0.5137254901960784,0.4117647058823529,0.4274509803921568,0.033318014705882304,0.0376072303921568,0.0,0.1873468137254901,0.1292126225490195,0.0,0.0,0.0,0.0,0.5962009803921569,0.0,0.0163143382352941,0.0,0.0,0.0
0,klimaschutz_563.jpg,instagram,klimaschutz,11,0.45013688671722374,0.41789719242543566,0.4061417439315549,0.37232104238754304,0.43444047962322163,0.5471462298154554,0.2514417531718569,0.4129561028563675,0.4274509803921568,0.5137254901960784,0.4117647058823529,0.4274509803921568,0.033318014705882304,0.0376072303921568,0.0,0.1873468137254901,0.1292126225490195,0.0,0.0,0.0,0.0,0.5962009803921569,0.0,0.0163143382352941,0.0,0.0,0.0
0,klimaschutz_564.jpg,instagram,klimaschutz,9,0.40953021199037526,0.5290762007708638,0.4160351271298146,0.3063265931372548,0.29654549932718177,0.5377444973087272,0.1966628219915417,0.3607843137254902,0.2198329149422168,0.3568627450980392,0.4549019607843137,0.3607843137254902,0.0431219362745098,0.1495098039215686,0.1450674019607843,0.0,0.0,0.05859375,0.0,0.4175857843137254,0.0383731617647058,0.0,0.1477481617647058,0.0,0.0,0.0,0.0
0,klimaschutz_565.jpg,instagram,klimaschutz,9,0.40953021199037526,0.5290762007708638,0.4160351271298146,0.3063265931372548,0.29654549932718177,0.5377444973087272,0.1966628219915417,0.3607843137254902,0.2198329149422168,0.3568627450980392,0.4549019607843137,0.3607843137254902,0.0431219362745098,0.1495098039215686,0.1450674019607843,0.0,0.0,0.05859375,0.0,0.4175857843137254,0.0383731617647058,0.0,0.1477481617647058,0.0,0.0,0.0,0.0
0,klimaschutz_566.jpg,instagram,klimaschutz,9,0.40953021199037526,0.5290762007708638,0.4160351271298146,0.3063265931372548,0.29654549932718177,0.5377444973087272,0.1966628219915417,0.3607843137254902,0.2198329149422168,0.3568627450980392,0.4549019607843137,0.3607843137254902,0.0431219362745098,0.1495098039215686,0.1450674019607843,0.0,0.0,0.05859375,0.0,0.4175857843137254,0.0383731617647058,0.0,0.1477481617647058,0.0,0.0,0.0,0.0
0,klimaschutz_567.jpg,instagram,klimaschutz,4,0.25528023488326507,0.2546567201772718,0.22644362774199164,0.2869704560745867,0.28190659842368315,0.2823592488465974,0.1957093425605536,0.2416218196621209,0.2470588235294117,0.5176470588235295,0.2078431372549019,0.2470588235294117,0.0,0.6939338235294117,0.0,0.0,0.2360600490196078,0.0,0.0,0.0,0.0700061274509804,0.0,0.0,0.0,0.0,0.0,0.0
0,klimaschutz_568.jpg,instagram,klimaschutz,13,0.4044205094571466,0.3713356710133222,0.3519777141876491,0.2911641556132253,0.20435199202229878,0.4220227797001149,0.5137254901960784,0.4813732274916887,0.4432141484044598,0.0901960784313725,0.1372549019607843,0.5137254901960784,0.08409926470588219,0.5024509803921567,0.0,0.0105698529411764,0.29833026960784303,0.0,0.0,0.0,0.0,0.0,0.0699295343137254,0.0346200980392156,0.0,0.0,0.0
0,klimaschutz_569.jpg,instagram,klimaschutz,10,0.47023546835027497,0.5541217735991878,0.5991816993408621,0.42011095492118405,0.4174196823337176,0.6722735846789695,0.4370626682045367,0.6086962028179207,0.7686274509803922,0.5803921568627451,0.4313725490196078,0.7686274509803922,0.0006127450980392,0.1858915441176469,0.0,0.0,0.10638786764705871,0.1008731617647058,0.0,0.0,0.0,0.0,0.0,0.606234681372549,0.0,0.0,0.0
0,klimaschutz_570.jpg,instagram,klimaschutz,7,0.2844489534568152,0.2743155611895345,0.20399138057760585,0.0872639129181084,0.14893190119184926,0.30169706362937326,0.1843137254901961,0.1843137254901961,0.1843137254901961,0.0,0.0,0.1843137254901961,0.0,0.8020067401960784,0.0,0.0,0.0983455882352941,0.0469515931372549,0.0,0.0,0.0,0.0526960784313725,0.0,0.0,0.0,0.0,0.0
0,klimaschutz_571.jpg,instagram,klimaschutz,11,0.5947290114153811,0.3332400912266669,0.28780174183351076,0.2555637733609068,0.4208486519607843,0.5958833582261029,0.9686274509803922,0.4544840219824955,0.2962860438292964,0.0392156862745098,0.6941176470588235,0.9686274509803922,0.12713623046875,0.28509521484375,0.0,0.46893310546875,0.11883544921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,klimaschutz_572.jpg,instagram,klimaschutz,10,0.7974036661079872,0.4357020013800016,0.4779433710362388,0.5349370021446078,0.45715571384803916,0.8233281154258578,0.8901960784313725,0.0279277201076509,0.0887937218716781,0.9882352941176472,0.9686274509803922,0.8901960784313725,0.0,0.096435546875,0.18634033203125,0.4661865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17059326171875,0.0,0.0,0.0804443359375
0,klimaschutz_573.jpg,instagram,klimaschutz,13,0.3681581792109722,0.44637297377139984,0.4517873298637022,0.3080005286428294,0.24917489667435566,0.4973612913302573,0.4588235294117647,0.455013230205577,0.4372318339100345,0.1372549019607843,0.0470588235294117,0.4588235294117647,0.10294117647058809,0.6342677696078429,0.0,0.0,0.0,0.0,0.10485600490196059,0.0255055147058823,0.0,0.0,0.0,0.1324295343137254,0.0,0.0,0.0
0,klimaschutz_575.jpg,instagram,klimaschutz,11,0.43938450655997696,0.3061647740343434,0.2944238387592548,0.43656676049325976,0.34336272594975487,0.45051580690870097,0.2041522491349481,0.2041522491349481,0.2313725490196078,0.6666666666666666,0.1176470588235294,0.2313725490196078,0.0,0.39703369140625,0.0,0.4871826171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145263671875,0.0,0.0,0.10125732421875
